,5000,10000,15000,20000,25000,30000,35000,40000,45000,50000
1,12775,34669,58298,75257,93815,89542,105244,115472,160690,151530
2,33799,67475,131799,182190,207533,259772,303723,374703,375080,413561
3,5460,8832,14149,17822,20302,25638,27496,32676,38164,39976
4,4601,9204,13760,16518,22044,25387,32166,36579,41265,47624
5,3675,7510,12203,17272,21085,27120,29574,33808,41038,46858
6,4436,11066,15283,18379,24048,29258,34458,41697,44192,51756
7,4456,9278,14080,18804,30431,28580,33216,40217,43708,45463
8,4599,9176,14208,19349,24279,29570,34403,39456,45002,52950
9,5511,9741,14913,20090,24831,30455,35485,40825,41526,49674
10,4782,9755,14268,19615,24564,32643,39879,42960,47564,55599
11,5851,10873,16430,22342,28196,36647,39461,47148,62013,57491
