,5000,10000,15000,20000,25000,30000,35000,40000,45000,50000
1,50384,246100,665869,1260537,2092935,3045852,4295764,5589381,7362614,9022097
2,54807,295511,765543,1428675,2209991,3244434,4446249,5803602,7433043,9425027
3,59025,312143,816642,1479535,2304568,3315706,4499953,6564038,7596978,9311820
4,65627,340241,837114,1601483,2398275,3336285,4518609,5960108,7575091,9520335
5,75845,352992,848114,1475621,2276536,3274167,4623771,5840842,7459807,9461155
6,63450,334832,857178,1520534,2316716,3367163,4545829,6050300,7520590,9569862
7,79120,368085,897324,1670705,2368281,3475754,4617124,5948005,7672377,9345950
8,87376,383985,966343,1553453,2370203,3779166,4584106,6006975,8003851,10004893
