,5000,10000,15000,20000,25000,30000,35000,40000,45000,50000
1,30520,71155,128070,122618,137010,169089,193675,199950,240737,275171
2,30276,54086,85326,110534,134621,174115,200156,222615,248898,240240
3,8042,32654,34660,59441,70959,85866,110097,118614,122296,160695
4,18890,33163,44757,57372,88791,103626,106294,108837,127625,182206
5,13998,26880,47652,61865,84550,95622,118643,130684,175472,170442
6,19341,37171,57456,72996,97290,114493,139467,159381,177234,191037
7,16967,36770,55541,78536,96792,121866,117165,154422,163129,194500
8,17153,34784,55469,72574,94110,108548,126640,147272,177276,183601
9,17108,33529,53936,69129,85692,110536,112412,128858,148071,171847
10,15963,33326,49976,65997,90653,110208,131249,147392,170363,186678
11,18113,39355,54673,80423,99784,116165,142372,158147,188257,198956
